	Name	Brand	Price	Old Price	Url	Category	Family	Section
6034	Trailster Gtx W	Salomon 	106.95 €	124.90 €	/salomon-trailster-gtx-w/p-93892?idvariedad=382248&opt=d	Calzado	Zapatillas Trail Running	Mujer
6035	Ultra Cardiac II W	The North Face 	103.55 €	120.00 €	/the-north-face-ultra-cardiac-ii-w/p-78758?idvariedad=313641&opt=d	Calzado	Zapatillas Trail Running	Mujer
6036	Xa Lite W	Salomon 	82.95 €	114.90 €	/salomon-xa-lite-w/p-93902?idvariedad=382280&opt=d	Calzado	Zapatillas Trail Running	Mujer
6037	Speedcross Vario 2 W	Salomon 	91.85 €	114.90 €	/salomon-speedcross-vario-2-w/p-79478?idvariedad=316671&opt=d	Calzado	Zapatillas Trail Running	Mujer
6038	Xa Lite W	Salomon 	91.20 €	114.90 €	/salomon-xa-lite-w/p-79345?idvariedad=316008&opt=d	Calzado	Zapatillas Trail Running	Mujer
6039	Sense Escape W	Salomon 	85.45 €	109.90 €	/salomon-sense-escape-w/p-93914?idvariedad=382319&opt=d	Calzado	Zapatillas Trail Running	Mujer
6040	Speedcross 4 GTX W	Salomon 	110.95 €	159.99 €	/salomon-speedcross-4-gtx-w/p-65810?idvariedad=267470&opt=d	Calzado	Zapatillas Trail Running	Mujer
6041	Speedcross 4 GTX W Limited Edition	Salomon 	105.68 €	159.90 €	/salomon-speedcross-4-gtx-w-limited/p-79463?idvariedad=316215&opt=d	Calzado	Zapatillas Trail Running	Mujer
6042	Xa Elevate GTX W	Salomon 	107.45 €	154.90 €	/salomon-xa-elevate-gtx-w/p-93869?idvariedad=382174&opt=d	Calzado	Zapatillas Trail Running	Mujer
6043	Litewave Endurance W	The North Face 	65.25 €	100.00 €	/the-north-face-litewave-endurance-w/p-78660?idvariedad=313491&opt=d	Calzado	Zapatillas Trail Running	Mujer
6044	Bushido W	La Sportiva 	134.91 €	149.90 €	/la-sportiva-bushido-w/p-79110?idvariedad=315057&opt=d	Calzado	Zapatillas Trail Running	Mujer
6045	Wings Flyte 2 W	Salomon 	74.95 €	99.90 €	/salomon-wings-flyte-2-w/p-79327?idvariedad=315975&opt=d	Calzado	Zapatillas Trail Running	Mujer
6046	Xa Pro 3D GTX W Limited edition	Salomon 	87.95 €	144.90 €	/salomon-xa-pro-3d-gtx-w/p-79470?idvariedad=316253&opt=d	Calzado	Zapatillas Trail Running	Mujer
6047	Xa Lite Gtx W	Salomon 	97.90 €	139.90 €	/salomon-xa-lite-gtx-w/p-93909?idvariedad=382302&opt=d	Calzado	Zapatillas Trail Running	Mujer
6048	Speedcross Pro 2 W	Salomon 	127.95 €	149.90 €	/salomon-speedcross-pro-2-w/p-93913?idvariedad=382316&opt=d	Calzado	Zapatillas Trail Running	Mujer
6049	Speedcross Vario 2 GTX W	Salomon 	104.90 €	139.90 €	/salomon-speedcross-vario-2-gtx-w/p-79401?idvariedad=316107&opt=d	Calzado	Zapatillas Trail Running	Mujer
